,id,author,summary_id,accuracy,relevance,creativity,specificity,feasibility,red_flags,id_summary,model,task_index,accuracy_summary,relevance_summary,novelty,specificity_summary,feasibility_summary,accuracy_adjusted,relevance_adjusted,creativity_adjusted,specificity_adjusted,feasibility_adjusted,red_flags_adjusted
73,13,Dyke,58,9,8,7,8,9,0,58,bard,10,9,9,8,9,8,0.5999999999999996,0.09999999999999964,-0.20000000000000018,0.20000000000000018,0.40000000000000036,-0.3
74,118,Clusmann,58,7,7,5,5,6,0,58,bard,10,9,9,8,9,8,-0.2727272727272725,0.8181818181818183,-0.6363636363636367,-0.8181818181818183,-0.09090909090909083,-0.09090909090909091
75,218,Truhn,58,8,7,4,2,6,0,58,bard,10,9,9,8,9,8,0.09999999999999964,0.2999999999999998,-0.9000000000000004,-3.7,-0.5999999999999996,0.0
76,318,Isabella,58,7,6,3,5,6,0,58,bard,10,9,9,8,9,8,-2.3000000000000007,-2.5999999999999996,-0.3999999999999999,-1.0999999999999996,0.40000000000000036,0.0
77,404,Schneider,58,9,9,8,8,9,0,58,bard,10,9,9,8,9,8,0.125,0.375,0.5,0.5,0.375,-0.125
78,517,Kather,58,7,6,3,6,6,0,58,bard,10,9,9,8,9,8,0.0,-0.20000000000000018,-1.5999999999999996,0.9000000000000004,1.5,0.0
79,14,Dyke,80,6,8,7,6,8,0,80,babyagi-gpt-4,10,9,8,8,10,9,-2.166666666666666,0.4666666666666668,0.09999999999999964,-1.0999999999999996,-0.033333333333333215,0.0
80,119,Clusmann,80,4,4,3,1,5,0,80,babyagi-gpt-4,10,9,8,8,10,9,-2.0,-0.2999999999999998,-0.7666666666666666,-2.4,-0.5333333333333332,-0.06666666666666667
81,214,Truhn,80,7,5,3,3,7,0,80,babyagi-gpt-4,10,9,8,8,10,9,-0.8666666666666663,-1.4333333333333336,-1.2333333333333334,-1.5666666666666664,-0.36666666666666625,0.0
82,321,Isabella,80,6,4,2,2,5,0,80,babyagi-gpt-4,10,9,8,8,10,9,-2.7666666666666675,-2.333333333333333,-1.0666666666666669,-2.533333333333333,-1.0999999999999996,0.0
83,488,Schneider,80,9,5,5,5,7,0,80,babyagi-gpt-4,10,9,8,8,10,9,0.43333333333333357,-2.033333333333333,-1.0666666666666664,-1.2666666666666666,-0.6333333333333337,-0.06666666666666667
84,514,Kather,80,6,6,2,3,3,0,80,babyagi-gpt-4,10,9,8,8,10,9,-0.5333333333333332,1.7666666666666666,-1.4,-0.2333333333333334,-1.4000000000000004,0.0
