,id,author,summary_id,accuracy,relevance,creativity,specificity,feasibility,red_flags,id_summary,model,task_index,accuracy_summary,relevance_summary,novelty,specificity_summary,feasibility_summary,accuracy_adjusted,relevance_adjusted,creativity_adjusted,specificity_adjusted,feasibility_adjusted,red_flags_adjusted
19,4,Dyke,21,8,8,6,7,8,0,21,camel-gpt4,7,9,9,8,8,8,0.09999999999999964,0.7000000000000002,-1.0999999999999996,-0.40000000000000036,-0.3000000000000007,-0.1
20,176,Clusmann,21,8,5,6,5,5,0,21,camel-gpt4,7,9,9,8,8,8,0.7999999999999998,-1.9000000000000004,-0.9000000000000004,-1.0999999999999996,-1.2000000000000002,0.0
21,276,Truhn,21,8,8,6,7,7,0,21,camel-gpt4,7,9,9,8,8,8,0.0,1.0999999999999996,0.20000000000000018,1.0999999999999996,0.2999999999999998,0.0
22,381,Isabella,21,10,10,6,8,6,0,21,camel-gpt4,7,9,9,8,8,8,0.0,0.5999999999999996,1.2000000000000002,0.0,-0.2999999999999998,0.0
23,466,Schneider,21,8,8,7,7,7,0,21,camel-gpt4,7,9,9,8,8,8,-1.3000000000000007,0.40000000000000036,-0.2999999999999998,-0.5,-0.9000000000000004,0.0
24,575,Kather,21,5,4,3,4,3,0,21,camel-gpt4,7,9,9,8,8,8,-2.2,-1.9000000000000004,-2.2,-1.4000000000000004,-2.3,0.0
434,73,Dyke,99,8,8,7,7,8,0,99,bard,7,9,9,8,8,8,-0.40000000000000036,0.09999999999999964,-0.20000000000000018,-0.7999999999999998,-0.5999999999999996,-0.3
435,179,Clusmann,99,8,8,8,7,6,0,99,bard,7,9,9,8,8,8,0.7272727272727275,1.8181818181818183,2.3636363636363633,1.1818181818181817,-0.09090909090909083,-0.09090909090909091
436,277,Truhn,99,8,6,3,6,7,0,99,bard,7,9,9,8,8,8,0.09999999999999964,-0.7000000000000002,-1.9000000000000004,0.2999999999999998,0.40000000000000036,0.0
437,379,Isabella,99,10,9,3,6,6,0,99,bard,7,9,9,8,8,8,0.6999999999999993,0.40000000000000036,-0.3999999999999999,-0.09999999999999964,0.40000000000000036,0.0
438,580,Kather,99,6,5,2,2,3,0,99,bard,7,9,9,8,8,8,-1.0,-1.2000000000000002,-2.5999999999999996,-3.0999999999999996,-1.5,0.0
439,74,Dyke,11,8,7,8,7,7,0,11,gpt-4,7,9,10,8,10,8,0.2999999999999998,-1.1999999999999993,0.40000000000000036,-1.1999999999999993,-1.4000000000000004,-0.2
440,178,Clusmann,11,8,9,9,8,6,0,11,gpt-4,7,9,10,8,10,8,1.0,1.0999999999999996,2.3,1.2999999999999998,-0.5,-0.1
441,275,Truhn,11,8,8,7,7,8,0,11,gpt-4,7,9,10,8,10,8,0.0,0.7999999999999998,1.7000000000000002,0.7999999999999998,0.7000000000000002,0.0
442,380,Isabella,11,10,8,5,7,6,0,11,gpt-4,7,9,10,8,10,8,0.3000000000000007,-0.40000000000000036,0.7000000000000002,-0.7999999999999998,0.2999999999999998,0.0
443,484,Schneider,11,9,8,7,7,8,0,11,gpt-4,7,9,10,8,10,8,0.0,-0.2727272727272734,-0.2727272727272725,-0.8181818181818183,-0.3636363636363633,-0.09090909090909091
